Artist;Real name;Year of Birth
Michael Jackson;Michael Joseph Jackson;1958
Tina Turner;Anna Mae Bullock;1939
Prince;Prince Rogers Nelson;1958
Ariana Grande;Ariana Grande-Butera;1993
