,Gemeente,CBS-code[1],Provincie,Inwoneraantal[2],Inwoners per km²land-oppervlakte [2],Land-oppervlakte(km²)[2],Kaart,Gemiddeld huishoudinkomen (×€1000)(excl. studenten)(CBS/2017)
8,Almere,34.0,Flevoland,211893.0,1640.0,"129,19",,"28,8"
81,Dronten,303.0,Flevoland,41555.0,125.0,"333,57",,"29,0"
171,Lelystad,995.0,Flevoland,78598.0,341.0,"230,32",,
208,Noordoostpolder,171.0,Flevoland,47291.0,103.0,"458,17",,
293,Urk,184.0,Flevoland,21031.0,1599.0,"13,15",,
344,Zeewolde,50.0,Flevoland,22653.0,92.0,"247,23",,
