Begrotingsjaar;Uitgaven Ontvangsten Verplichtingen;Begrotingsnummer;Naam Begroting ;Artikel nummer;Artikel;Stand ontwerpbegroting;Stand vastgestelde begroting;Stand eerste suppletoire;Stand tweede suppletoire;Realisatie
2018;V;XVI;Volksgezondheid, Welzijn en Sport;8;Tegemoetkoming specifieke kosten;5263880;5247149;5010006;0;0
2018;U;XVI;Volksgezondheid, Welzijn en Sport;9;Algemeen;33140;33140;41825;0;0
2018;V;XVI;Volksgezondheid, Welzijn en Sport;9;Algemeen;33140;33140;41825;0;0
2018;O;XVI;Volksgezondheid, Welzijn en Sport;10;Apparaatsuitgaven;11679;11679;23578;0;0
2018;U;XVI;Volksgezondheid, Welzijn en Sport;10;Apparaatsuitgaven;272223;272473;326408;0;0
2018;V;XVI;Volksgezondheid, Welzijn en Sport;10;Apparaatsuitgaven;271998;272248;320833;0;0
2018;U;XVI;Volksgezondheid, Welzijn en Sport;11;Nominaal en Onvoorzien;-16222;-16222;64151;0;0
2018;V;XVI;Volksgezondheid, Welzijn en Sport;11;Nominaal en Onvoorzien;-16181;-16181;64176;0;0
2018;O;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;41;Duurzame handel en investeringen;4119;4119;6619;0;0
2018;U;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;41;Duurzame handel en investeringen;508830;508830;543901;0;0
2018;V;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;41;Duurzame handel en investeringen;354944;354944;451151;0;0
2018;U;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;42;Duurzame ontwikkeling, voedselzekerheid en water;666496;666496;707556;0;0
2018;V;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;42;Duurzame ontwikkeling, voedselzekerheid en water;475744;475744;635194;0;0
2018;U;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;43;Sociale vooruitgang;724927;724927;786327;0;0
2018;V;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;43;Sociale vooruitgang;424577;424577;536627;0;0
2018;U;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;44;Vrede en veiligheid voor ontwikkeling;396979;586979;744979;0;0
2018;V;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;44;Vrede en veiligheid voor ontwikkeling;425301;615301;795738;0;0
2018;O;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;45;Versterkte kaders voor ontwikkeling;74692;74692;74692;0;0
2018;U;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;45;Versterkte kaders voor ontwikkeling;169071;212967;240679;0;0
2018;V;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;45;Versterkte kaders voor ontwikkeling;110950;110950;152051;0;0
2018;O;XVIII;Wonen & Rijksdienst;1;Woningmarkt;487000;0;0;0;0
2018;U;XVIII;Wonen & Rijksdienst;1;Woningmarkt;4147089;0;0;0;0
2018;V;XVIII;Wonen & Rijksdienst;1;Woningmarkt;4147089;0;0;0;0
2018;O;XVIII;Wonen & Rijksdienst;2;Woonomgeving en bouw;91;0;0;0;0
2018;U;XVIII;Wonen & Rijksdienst;2;Woonomgeving en bouw;247486;0;0;0;0
2018;V;XVIII;Wonen & Rijksdienst;2;Woonomgeving en bouw;52486;0;0;0;0
2018;U;XVIII;Wonen & Rijksdienst;3;Kwaliteit Rijksdienst;19535;0;0;0;0
2018;V;XVIII;Wonen & Rijksdienst;3;Kwaliteit Rijksdienst;19535;0;0;0;0
2018;O;XVIII;Wonen & Rijksdienst;6;Uitvoering rijksvastgoedbeleid;121932;0;0;0;0
2018;U;XVIII;Wonen & Rijksdienst;6;Uitvoering rijksvastgoedbeleid;111579;0;0;0;0
2018;V;XVIII;Wonen & Rijksdienst;6;Uitvoering rijksvastgoedbeleid;111579;0;0;0;0
2019;O;A;Infrastructuurfonds;12;Hoofdwegennet;73126;0;0;0;0
2019;U;A;Infrastructuurfonds;12;Hoofdwegennet;3099638;0;0;0;0
2019;V;A;Infrastructuurfonds;12;Hoofdwegennet;3129096;0;0;0;0
2019;O;A;Infrastructuurfonds;13;Spoorwegen;195388;0;0;0;0
2019;U;A;Infrastructuurfonds;13;Spoorwegen;2009388;0;0;0;0
2019;V;A;Infrastructuurfonds;13;Spoorwegen;1610625;0;0;0;0
2019;U;A;Infrastructuurfonds;14;Regionaal, lokale infra;192762;0;0;0;0
2019;V;A;Infrastructuurfonds;14;Regionaal, lokale infra;54809;0;0;0;0
2019;O;A;Infrastructuurfonds;15;Hoofdvaarwegennet;105584;0;0;0;0
2019;U;A;Infrastructuurfonds;15;Hoofdvaarwegennet;1291388;0;0;0;0
2019;V;A;Infrastructuurfonds;15;Hoofdvaarwegennet;777657;0;0;0;0
2019;O;A;Infrastructuurfonds;17;Megaprojecten Verkeer en Vervoer;72020;0;0;0;0
2019;U;A;Infrastructuurfonds;17;Megaprojecten Verkeer en Vervoer;692068;0;0;0;0
2019;V;A;Infrastructuurfonds;17;Megaprojecten Verkeer en Vervoer;1107469;0;0;0;0
2019;U;A;Infrastructuurfonds;18;Overige uitgaven en ontvangsten;893;0;0;0;0
2019;V;A;Infrastructuurfonds;18;Overige uitgaven en ontvangsten;1028;0;0;0;0
2019;O;A;Infrastructuurfonds;19;Bijdrage andere begrotingen Rijk;6921916;0;0;0;0
2019;U;A;Infrastructuurfonds;20;Verkenningen, reserveringen en investeringsruimte;81897;0;0;0;0
2019;V;A;Infrastructuurfonds;20;Verkenningen, reserveringen en investeringsruimte;81897;0;0;0;0
2019;U;B;Gemeentefonds;2;Onderzoek;1711;0;0;0;0
2019;V;B;Gemeentefonds;2;Onderzoek;1711;0;0;0;0
2019;U;B;Gemeentefonds;3;Programma;25835515;0;0;0;0
2019;V;B;Gemeentefonds;3;Programma;25835515;0;0;0;0
2019;U;B;Gemeentefonds;4;Integratie-uitkering sociaal domein;4310733;0;0;0;0
2019;V;B;Gemeentefonds;4;Integratie-uitkering sociaal domein;4310733;0;0;0;0
2019;U;C;Provinciefonds;1;Provinciefonds;2407659;0;0;0;0
2019;V;C;Provinciefonds;1;Provinciefonds;2407659;0;0;0;0
2019;O;F;Diergezondheidsfonds;1;Bewaking en bestrijding van dierziekten;34585;0;0;0;0
2019;U;F;Diergezondheidsfonds;1;Bewaking en bestrijding van dierziekten;34585;0;0;0;0
2019;V;F;Diergezondheidsfonds;1;Bewaking en bestrijding van dierziekten;34585;0;0;0;0
2019;U;H;BES-fonds;1;BES-fonds;38279;0;0;0;0
2019;V;H;BES-fonds;1;BES-fonds;38279;0;0;0;0
2019;U;I;De Koning;1;Grondwettelijke uitkering aan de leden vh Koninklijk Huis;8354;0;0;0;0
2019;V;I;De Koning;1;Grondwettelijke uitkering aan de leden vh Koninklijk Huis;8354;0;0;0;0
2019;U;I;De Koning;2;Functionele uitgaven van de Koning;28914;0;0;0;0
2019;V;I;De Koning;2;Functionele uitgaven van de Koning;28914;0;0;0;0
2019;U;I;De Koning;3;Doorbelaste uitgaven van andere begrotingen;5984;0;0;0;0
2019;V;I;De Koning;3;Doorbelaste uitgaven van andere begrotingen;5984;0;0;0;0
2019;O;IIA;Staten-Generaal;1;Wetgeving en controle Eerste Kamer;140;0;0;0;0
2019;U;IIA;Staten-Generaal;1;Wetgeving en controle Eerste Kamer;12464;0;0;0;0
2019;V;IIA;Staten-Generaal;1;Wetgeving en controle Eerste Kamer;12464;0;0;0;0
2019;O;IIA;Staten-Generaal;2;Uitgaven tbv van (oud) leden Tweede Kamer en leden EP;86;0;0;0;0
2019;U;IIA;Staten-Generaal;2;Uitgaven tbv van (oud) leden Tweede Kamer en leden EP;31525;0;0;0;0
2019;V;IIA;Staten-Generaal;2;Uitgaven tbv van (oud) leden Tweede Kamer en leden EP;31525;0;0;0;0
2019;O;IIA;Staten-Generaal;3;Wetgeving en controle Tweede Kamer;3966;0;0;0;0
2019;U;IIA;Staten-Generaal;3;Wetgeving en controle Tweede Kamer;102007;0;0;0;0
2019;V;IIA;Staten-Generaal;3;Wetgeving en controle Tweede Kamer;102007;0;0;0;0
2019;O;IIA;Staten-Generaal;4;Wetgeving en controle Eerste en Tweede Kamer;23;0;0;0;0
2019;U;IIA;Staten-Generaal;4;Wetgeving en controle Eerste en Tweede Kamer;1491;0;0;0;0
2019;V;IIA;Staten-Generaal;4;Wetgeving en controle Eerste en Tweede Kamer;1491;0;0;0;0
2019;U;IIA;Staten-Generaal;10;Nominaal en onvoorzien;-1957;0;0;0;0
2019;V;IIA;Staten-Generaal;10;Nominaal en onvoorzien;-1957;0;0;0;0
