Begrotingsjaar;Uitgaven Ontvangsten Verplichtingen;Begrotingsnummer;Naam Begroting ;Artikel nummer;Artikel;Stand ontwerpbegroting;Stand vastgestelde begroting;Stand eerste suppletoire;Stand tweede suppletoire;Realisatie
2014;V;XII;Infrastructuur en Waterstaat;26;Bijdrage investeringsfondsen;7452327;7452327;7009383;6908777;6910205
2014;O;XII;Infrastructuur en Waterstaat;97;Algemeen departement;3873;3873;5322;18514;18503
2014;U;XII;Infrastructuur en Waterstaat;97;Algemeen departement;27206;27206;30220;55807;55677
2014;V;XII;Infrastructuur en Waterstaat;97;Algemeen departement;27205;27205;29481;55090;63614
2014;O;XII;Infrastructuur en Waterstaat;98;Apparaatsuitgaven Kerndepartement;2434;2434;6050;14123;14203
2014;U;XII;Infrastructuur en Waterstaat;98;Apparaatsuitgaven Kerndepartement;319700;319700;324213;303452;303576
2014;V;XII;Infrastructuur en Waterstaat;98;Apparaatsuitgaven Kerndepartement;323235;323235;319112;303683;292085
2014;U;XII;Infrastructuur en Waterstaat;99;Nominaal en onvoorzien;-14543;-14543;22786;0;0
2014;V;XII;Infrastructuur en Waterstaat;99;Nominaal en onvoorzien;-14543;-14543;-18922;0;0
2014;O;XIII;Economische Zaken en Klimaat;11;Goed functionerende economie en markten;52265;52265;53021;54036;58853
2014;U;XIII;Economische Zaken en Klimaat;11;Goed functionerende economie en markten;197794;197794;216176;196912;197270
2014;V;XIII;Economische Zaken en Klimaat;11;Goed functionerende economie en markten;196702;196702;215082;197241;195559
2014;O;XIII;Economische Zaken en Klimaat;12;Een sterk innovatievermogen;49968;49968;73495;56306;61491
2014;U;XIII;Economische Zaken en Klimaat;12;Een sterk innovatievermogen;814790;814790;847782;881607;695721
2014;V;XIII;Economische Zaken en Klimaat;12;Een sterk innovatievermogen;589198;589198;735946;814829;656850
2014;O;XIII;Economische Zaken en Klimaat;13;Een excellent ondernemingsklimaat;72087;72087;66587;58244;55966
2014;U;XIII;Economische Zaken en Klimaat;13;Een excellent ondernemingsklimaat;319466;319466;351849;414271;404941
2014;V;XIII;Economische Zaken en Klimaat;13;Een excellent ondernemingsklimaat;2377631;2377631;2399697;1880714;757490
2014;O;XIII;Economische Zaken en Klimaat;14;Een doelmatige en duurzame energievoorziening;12165411;12165411;11661411;11074509;10801567
2014;U;XIII;Economische Zaken en Klimaat;14;Een doelmatige en duurzame energievoorziening;1538633;1538633;1503521;1456047;1441886
2014;V;XIII;Economische Zaken en Klimaat;14;Een doelmatige en duurzame energievoorziening;3899850;3899850;3977621;4212097;2646202
2014;O;XIII;Economische Zaken en Klimaat;16;Een concurr., duurz.en veilige agro-, viss.- en voedeselket.;292779;292779;366022;392963;357416
2014;U;XIII;Economische Zaken en Klimaat;16;Een concurr., duurz.en veilige agro-, viss.- en voedeselket.;565726;565726;670418;666227;660124
2014;V;XIII;Economische Zaken en Klimaat;16;Een concurr., duurz.en veilige agro-, viss.- en voedeselket.;659135;659135;767489;806755;729130
2014;O;XIII;Economische Zaken en Klimaat;17;Groen onderwijs van hoge kwaliteit;75;75;75;82;230
2014;U;XIII;Economische Zaken en Klimaat;17;Groen onderwijs van hoge kwaliteit;795701;795701;817389;806734;807497
2014;V;XIII;Economische Zaken en Klimaat;17;Groen onderwijs van hoge kwaliteit;847506;847506;869194;868718;862305
2014;O;XIII;Economische Zaken en Klimaat;18;Natuur, regio en ruimte;86282;86282;91797;116082;118525
2014;U;XIII;Economische Zaken en Klimaat;18;Natuur, regio en ruimte;432349;432349;318878;345210;337416
2014;V;XIII;Economische Zaken en Klimaat;18;Natuur, regio en ruimte;402156;402156;430260;401061;392375
2014;O;XIII;Economische Zaken en Klimaat;40;Apparaat;14943;14943;31682;39529;31607
2014;U;XIII;Economische Zaken en Klimaat;40;Apparaat;367581;367581;376761;393282;390795
2014;V;XIII;Economische Zaken en Klimaat;40;Apparaat;368972;368972;376567;393282;390795
2014;U;XIII;Economische Zaken en Klimaat;41;Nominaal en onvoorzien;250;250;8780;0;0
2014;V;XIII;Economische Zaken en Klimaat;41;Nominaal en onvoorzien;250;250;8780;0;0
2014;O;XV;Sociale Zaken en Werkgelegenheid;1;Arbeidsmarkt;39039;39039;39039;29000;29645
2014;U;XV;Sociale Zaken en Werkgelegenheid;1;Arbeidsmarkt;19665;19665;18391;14177;14103
2014;V;XV;Sociale Zaken en Werkgelegenheid;1;Arbeidsmarkt;19687;19687;18413;19199;16545
2014;O;XV;Sociale Zaken en Werkgelegenheid;2;Bijstand, Toeslagenwet en Sociale werkvoorziening;53853;53853;53853;98216;106277
2014;U;XV;Sociale Zaken en Werkgelegenheid;2;Bijstand, Toeslagenwet en Sociale werkvoorziening;10578354;10578354;10072123;9789037;9732855
2014;V;XV;Sociale Zaken en Werkgelegenheid;2;Bijstand, Toeslagenwet en Sociale werkvoorziening;10578380;10578380;10073094;7084466;6333698
2014;U;XV;Sociale Zaken en Werkgelegenheid;3;Arbeidsongeschiktheid;649;649;649;586;616
2014;V;XV;Sociale Zaken en Werkgelegenheid;3;Arbeidsongeschiktheid;649;649;649;586;616
2014;O;XV;Sociale Zaken en Werkgelegenheid;4;Jonggehandicapten;0;0;0;12273;12273
2014;U;XV;Sociale Zaken en Werkgelegenheid;4;Jonggehandicapten;2952962;2952962;2972442;3024897;3019261
2014;V;XV;Sociale Zaken en Werkgelegenheid;4;Jonggehandicapten;2952962;2952962;2972442;3024897;3019261
2014;U;XV;Sociale Zaken en Werkgelegenheid;5;Werkloosheid;32444;32444;39231;26130;25483
2014;V;XV;Sociale Zaken en Werkgelegenheid;5;Werkloosheid;32444;32444;39231;26130;25483
2014;O;XV;Sociale Zaken en Werkgelegenheid;6;Ziekte en zwangerschap;0;0;0;836;836
2014;U;XV;Sociale Zaken en Werkgelegenheid;6;Ziekte en zwangerschap;6805;6805;6674;7246;6430
2014;V;XV;Sociale Zaken en Werkgelegenheid;6;Ziekte en zwangerschap;6805;6805;6674;7246;6430
2014;O;XV;Sociale Zaken en Werkgelegenheid;7;Kinderopvang;1413397;1413397;1413397;1547747;1503008
2014;U;XV;Sociale Zaken en Werkgelegenheid;7;Kinderopvang;2402197;2502197;2424033;2310336;2188829
2014;V;XV;Sociale Zaken en Werkgelegenheid;7;Kinderopvang;2402197;2502197;2424033;2313336;2192340
2014;U;XV;Sociale Zaken en Werkgelegenheid;8;Oudedagsvoorziening;1053343;1053343;1038558;1016164;1011827
2014;V;XV;Sociale Zaken en Werkgelegenheid;8;Oudedagsvoorziening;1053343;1053343;1038558;1016164;1011827
2014;U;XV;Sociale Zaken en Werkgelegenheid;9;Nabestaanden;964;964;968;805;864
2014;V;XV;Sociale Zaken en Werkgelegenheid;9;Nabestaanden;964;964;968;805;864
2014;O;XV;Sociale Zaken en Werkgelegenheid;10;Tegemoetkoming ouders;251967;251967;251164;240813;205454
2014;U;XV;Sociale Zaken en Werkgelegenheid;10;Tegemoetkoming ouders;4486790;4515476;4512224;4519668;4441886
2014;V;XV;Sociale Zaken en Werkgelegenheid;10;Tegemoetkoming ouders;4486790;4515476;4512224;4519668;4441886
2014;O;XV;Sociale Zaken en Werkgelegenheid;11;Uitvoeringskosten;0;0;0;6318;6522
2014;U;XV;Sociale Zaken en Werkgelegenheid;11;Uitvoeringskosten;481338;481338;440506;445748;445088
2014;V;XV;Sociale Zaken en Werkgelegenheid;11;Uitvoeringskosten;481338;481338;440506;445748;445088
2014;O;XV;Sociale Zaken en Werkgelegenheid;12;Rijksbijdragen;0;0;0;169;169
2014;U;XV;Sociale Zaken en Werkgelegenheid;12;Rijksbijdragen;11102706;11102706;11338286;11352184;11353370
2014;V;XV;Sociale Zaken en Werkgelegenheid;12;Rijksbijdragen;11102706;11102706;11338286;11352184;11353370
2014;O;XV;Sociale Zaken en Werkgelegenheid;13;Integratie en maatschappelijke samenhang;4425;4425;4425;2800;7933
2014;U;XV;Sociale Zaken en Werkgelegenheid;13;Integratie en maatschappelijke samenhang;121521;121521;123792;97917;94761
2014;V;XV;Sociale Zaken en Werkgelegenheid;13;Integratie en maatschappelijke samenhang;121521;121521;123792;102913;97515
2014;O;XV;Sociale Zaken en Werkgelegenheid;96;Apparaat;3500;3500;3613;3613;4761
2014;U;XV;Sociale Zaken en Werkgelegenheid;96;Apparaat;285829;285829;260734;260236;250857
2014;V;XV;Sociale Zaken en Werkgelegenheid;96;Apparaat;285829;285829;260734;260236;256278
2014;O;XV;Sociale Zaken en Werkgelegenheid;97;Aflopende regelingen;0;0;0;1;4
2014;O;XV;Sociale Zaken en Werkgelegenheid;98;Algemeen;0;0;0;3947;9779
2014;U;XV;Sociale Zaken en Werkgelegenheid;98;Algemeen;48804;48804;47079;44548;39442
2014;V;XV;Sociale Zaken en Werkgelegenheid;98;Algemeen;48804;48804;47133;44902;42548
2014;U;XV;Sociale Zaken en Werkgelegenheid;99;Nominaal en onvoorzien;181517;81517;65748;0;0
2014;V;XV;Sociale Zaken en Werkgelegenheid;99;Nominaal en onvoorzien;181517;81517;65748;0;0
2014;O;XVI;Volksgezondheid, Welzijn en Sport;1;Volksgezondheid;11003;11003;11003;17024;37511
2014;U;XVI;Volksgezondheid, Welzijn en Sport;1;Volksgezondheid;497952;497952;483937;481242;494841
2014;V;XVI;Volksgezondheid, Welzijn en Sport;1;Volksgezondheid;494520;494520;474852;595504;614940
2014;O;XVI;Volksgezondheid, Welzijn en Sport;2;Curatieve Zorg;35853;35853;55853;68469;81998
2014;U;XVI;Volksgezondheid, Welzijn en Sport;2;Curatieve Zorg;2733958;2733958;2723212;2725002;2722717
2014;V;XVI;Volksgezondheid, Welzijn en Sport;2;Curatieve Zorg;2692612;2692612;2741136;2744094;2753584
2014;O;XVI;Volksgezondheid, Welzijn en Sport;3;Maatschappelijke Ondersteuning en Langdurige Zorg;3441;3441;3441;10941;9404
2014;U;XVI;Volksgezondheid, Welzijn en Sport;3;Maatschappelijke Ondersteuning en Langdurige Zorg;4193291;4193291;4584539;4571164;4560102
2014;V;XVI;Volksgezondheid, Welzijn en Sport;3;Maatschappelijke Ondersteuning en Langdurige Zorg;4193311;4193311;4584559;4571184;4479923
2014;O;XVI;Volksgezondheid, Welzijn en Sport;4;Zorgbreed Beleid;4858;4858;4858;30158;32300
2014;U;XVI;Volksgezondheid, Welzijn en Sport;4;Zorgbreed Beleid;697717;697717;735546;705900;697803
2014;V;XVI;Volksgezondheid, Welzijn en Sport;4;Zorgbreed Beleid;694225;694225;741554;711908;715427
2014;O;XVI;Volksgezondheid, Welzijn en Sport;5;Jeugd;4508;4508;4508;15542;24660
2014;U;XVI;Volksgezondheid, Welzijn en Sport;5;Jeugd;1551126;1551126;1546438;1548323;1545047
2014;V;XVI;Volksgezondheid, Welzijn en Sport;5;Jeugd;1404726;1404726;1400038;156055;136134
2014;O;XVI;Volksgezondheid, Welzijn en Sport;6;Sport en Bewegen;1740;1740;1740;940;738
2014;U;XVI;Volksgezondheid, Welzijn en Sport;6;Sport en Bewegen;132421;132421;116193;71022;69986
2014;V;XVI;Volksgezondheid, Welzijn en Sport;6;Sport en Bewegen;106544;106544;127634;82463;84715
2014;O;XVI;Volksgezondheid, Welzijn en Sport;7;Oorlogsgetroffenen en Herinneringen Tweede Wereldoorlog;901;901;901;901;9125
2014;U;XVI;Volksgezondheid, Welzijn en Sport;7;Oorlogsgetroffenen en Herinneringen Tweede Wereldoorlog;327802;327802;327676;321786;321328
2014;V;XVI;Volksgezondheid, Welzijn en Sport;7;Oorlogsgetroffenen en Herinneringen Tweede Wereldoorlog;327802;327802;327676;321786;320591
2014;U;XVI;Volksgezondheid, Welzijn en Sport;8;Tegemoetkoming Specifieke Kosten;4466171;4466171;4027240;4270922;5296989
2014;V;XVI;Volksgezondheid, Welzijn en Sport;8;Tegemoetkoming Specifieke Kosten;4466171;4466171;4027240;4270922;5296989
2014;U;XVI;Volksgezondheid, Welzijn en Sport;9;Algemeen;30748;30748;38910;39600;39260
2014;V;XVI;Volksgezondheid, Welzijn en Sport;9;Algemeen;30748;30748;38910;39600;36020
2014;O;XVI;Volksgezondheid, Welzijn en Sport;10;Apparaatsuitgaven;5358;5358;30919;52989;54958
2014;U;XVI;Volksgezondheid, Welzijn en Sport;10;Apparaatsuitgaven;222775;222775;282205;324557;318157
2014;V;XVI;Volksgezondheid, Welzijn en Sport;10;Apparaatsuitgaven;222722;222722;282152;324504;318527
2014;O;XVI;Volksgezondheid, Welzijn en Sport;11;Nominaal en Onvoorzien;5000;5000;7297;7297;0
2014;U;XVI;Volksgezondheid, Welzijn en Sport;11;Nominaal en Onvoorzien;-36814;-36814;-14252;7564;0
2014;V;XVI;Volksgezondheid, Welzijn en Sport;11;Nominaal en Onvoorzien;-36814;-36814;-14252;1896;0
2014;O;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;41;Duurzame handel en investeringen;9315;9315;9315;3445;5132
2014;U;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;41;Duurzame handel en investeringen;463256;418256;462883;399691;391412
2014;V;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;41;Duurzame handel en investeringen;992055;947055;995053;1814427;756071
2014;U;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;42;Duurzame ontwikkeling, voedselzekerheid en water;581953;586953;576280;546338;548937
2014;V;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;42;Duurzame ontwikkeling, voedselzekerheid en water;704650;709650;586199;578488;209298
2014;U;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;43;Sociale vooruitgang;985987;1018987;1018608;1016001;1014820
2014;V;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;43;Sociale vooruitgang;453048;486048;649161;632326;609348
2014;U;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;44;Vrede en veiligheid voor ontwikkeling;685469;692469;494667;575169;572894
2014;V;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;44;Vrede en veiligheid voor ontwikkeling;792569;799569;632200;677659;567816
2014;O;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;45;Versterkte kaders voor ontwikkeling;86715;86715;86715;106715;126712
2014;U;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;45;Versterkte kaders voor ontwikkeling;79011;79011;120507;186057;285068
2014;V;XVII;Buitenlandse Handel & Ontwikkelingssamenwerking;45;Versterkte kaders voor ontwikkeling;425637;425637;217552;418185;260520
2014;O;XVIII;Wonen & Rijksdienst;11;Woningmarkt;471230;471230;490330;490330;496935
2014;U;XVIII;Wonen & Rijksdienst;11;Woningmarkt;3031676;3031676;3141754;3140838;3404536
2014;V;XVIII;Wonen & Rijksdienst;11;Woningmarkt;3101815;3101815;3211893;3189729;3382465
2014;O;XVIII;Wonen & Rijksdienst;12;Woonomgeving en bouw;91;91;91;91;305
2014;U;XVIII;Wonen & Rijksdienst;12;Woonomgeving en bouw;176384;176384;183650;151672;90136
2014;V;XVIII;Wonen & Rijksdienst;12;Woonomgeving en bouw;176364;176364;183630;310552;118601
2014;O;XVIII;Wonen & Rijksdienst;13;Kwaliteit Rijksdienst;250;250;7228;7740;8207
2014;U;XVIII;Wonen & Rijksdienst;13;Kwaliteit Rijksdienst;17896;17896;27906;31520;30006
2014;V;XVIII;Wonen & Rijksdienst;13;Kwaliteit Rijksdienst;17896;17896;27906;31520;32104
2014;O;XVIII;Wonen & Rijksdienst;16;Uitvoering rijksvastgoedbeleid;116841;116841;121811;145437;148547
2014;U;XVIII;Wonen & Rijksdienst;16;Uitvoering rijksvastgoedbeleid;144826;144826;154884;161360;162415
2014;V;XVIII;Wonen & Rijksdienst;16;Uitvoering rijksvastgoedbeleid;144826;144826;154884;161360;163108
2015;O;A;Infrastructuurfonds;12;Hoofdwegennet;533670;533670;663899;623450;592926
2015;U;A;Infrastructuurfonds;12;Hoofdwegennet;2293979;2293979;2164500;2386805;2393669
2015;V;A;Infrastructuurfonds;12;Hoofdwegennet;2211002;2211002;3164510;2312423;2108154
2015;O;A;Infrastructuurfonds;13;Spoorwegen;232720;232720;268890;241880;240852
2015;U;A;Infrastructuurfonds;13;Spoorwegen;2387881;2387881;2541847;2056096;1999985
2015;V;A;Infrastructuurfonds;13;Spoorwegen;1733921;1733921;2158221;3083460;2727356
2015;O;A;Infrastructuurfonds;14;Regionaal, lokale infra;0;0;-610;0;844
2015;U;A;Infrastructuurfonds;14;Regionaal, lokale infra;181447;181447;182314;135474;134964
2015;V;A;Infrastructuurfonds;14;Regionaal, lokale infra;67024;67024;439051;6721;2994
2015;O;A;Infrastructuurfonds;15;Hoofdvaarwegennet;26980;26980;214036;210229;213179
2015;U;A;Infrastructuurfonds;15;Hoofdvaarwegennet;883428;883428;896642;893888;871615
2015;V;A;Infrastructuurfonds;15;Hoofdvaarwegennet;825542;825542;1506840;1798274;1660126
2015;O;A;Infrastructuurfonds;17;Megaprojecten Verkeer en Vervoer;40347;40347;46279;33389;32932
2015;U;A;Infrastructuurfonds;17;Megaprojecten Verkeer en Vervoer;143740;143740;186659;116054;82329
2015;V;A;Infrastructuurfonds;17;Megaprojecten Verkeer en Vervoer;96890;96890;179934;194942;168273
2015;O;A;Infrastructuurfonds;18;Overige uitgaven en ontvangsten;0;0;24165;24165;24166
2015;U;A;Infrastructuurfonds;18;Overige uitgaven en ontvangsten;272602;272602;243530;238793;235889
2015;V;A;Infrastructuurfonds;18;Overige uitgaven en ontvangsten;271880;271880;228947;230402;227281
2015;O;A;Infrastructuurfonds;19;Bijdrage andere begrotingen Rijk;5329360;5329360;4998833;4819997;4821159
2015;O;B;Gemeentefonds;2;Apparaat;0;0;0;107;107
2015;U;B;Gemeentefonds;2;Apparaat;61080;61080;78214;89010;87541
2015;V;B;Gemeentefonds;2;Apparaat;61080;61080;78214;89010;86987
2015;U;B;Gemeentefonds;3;Programma;16925175;16965175;16703113;17050464;17011527
2015;V;B;Gemeentefonds;3;Programma;16925175;16965175;16681753;17029104;17030484
2015;U;B;Gemeentefonds;4;Integratie-uitkering sociaal Domein;10286466;10286466;10153512;10168422;10168117
2015;V;B;Gemeentefonds;4;Integratie-uitkering sociaal Domein;10286466;10286466;10153512;10168422;10168422
2015;U;C;Provinciefonds;1;Provinciefonds;952181;952181;1003126;1114594;1114541
2015;V;C;Provinciefonds;1;Provinciefonds;952181;952181;1003239;1114705;1114505
2015;O;F;Diergezondheidsfonds;1;Bewaking en bestrijding van dierziekten;21860;21860;42824;62442;46474
2015;U;F;Diergezondheidsfonds;1;Bewaking en bestrijding van dierziekten;21860;21860;42824;62442;46474
2015;V;F;Diergezondheidsfonds;1;Bewaking en bestrijding van dierziekten;21860;21860;42824;62442;46474
2015;U;H;BES-fonds;1;BES-fonds;31938;31938;33640;42478;46586
2015;V;H;BES-fonds;1;BES-fonds;31938;31938;33640;42478;46939
2015;U;I;De Koning;1;Uitkering leden Koninklijk Huis;7659;7659;7659;7702;7741
2015;V;I;De Koning;1;Uitkering leden Koninklijk Huis;7659;7659;7659;7702;7741
2015;U;I;De Koning;2;Functionele uitgaven van de Koning;26826;26826;26929;27554;27554
2015;V;I;De Koning;2;Functionele uitgaven van de Koning;26826;26826;26929;27554;27554
2015;O;I;De Koning;3;Doorbelaste uitgaven van andere begrotingen;0;0;57;57;58
2015;U;I;De Koning;3;Doorbelaste uitgaven van andere begrotingen;5600;5600;5730;5774;5726
2015;V;I;De Koning;3;Doorbelaste uitgaven van andere begrotingen;5600;5600;5730;5774;5726
2015;O;IIA;Staten-Generaal;1;Wetgeving en controle Eerste Kamer;79;79;79;130;213
2015;U;IIA;Staten-Generaal;1;Wetgeving en controle Eerste Kamer;11670;11670;12383;12501;11017
2015;V;IIA;Staten-Generaal;1;Wetgeving en controle Eerste Kamer;11670;11670;12383;12501;11047
2015;O;IIA;Staten-Generaal;2;Uitgaven tbv van (oud) leden Tweede Kamer en leden EP;86;86;86;86;51
2015;U;IIA;Staten-Generaal;2;Uitgaven tbv van (oud) leden Tweede Kamer en leden EP;29232;29232;29232;29624;28178
2015;V;IIA;Staten-Generaal;2;Uitgaven tbv van (oud) leden Tweede Kamer en leden EP;29232;29232;29232;29624;28227
2015;O;IIA;Staten-Generaal;3;Wetgeving en controle Tweede Kamer;4966;4966;4966;4966;5845
2015;U;IIA;Staten-Generaal;3;Wetgeving en controle Tweede Kamer;96115;96115;101560;101308;100615
2015;V;IIA;Staten-Generaal;3;Wetgeving en controle Tweede Kamer;96115;96115;101560;101308;100320
2015;O;IIA;Staten-Generaal;4;Wetgeving en controle Eerste en Tweede Kamer;23;23;23;23;0
2015;U;IIA;Staten-Generaal;4;Wetgeving en controle Eerste en Tweede Kamer;1493;1493;1493;1497;1357
2015;V;IIA;Staten-Generaal;4;Wetgeving en controle Eerste en Tweede Kamer;1493;1493;1493;1497;944
2015;U;IIA;Staten-Generaal;10;Nominaal en onvoorzien;-1573;-1573;-980;-1573;0
2015;V;IIA;Staten-Generaal;10;Nominaal en onvoorzien;-1573;-1573;-980;-1573;0
2015;O;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;1;Raad van State;1950;1950;1996;2246;2017
2015;U;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;1;Raad van State;59034;59034;59530;58916;59502
2015;V;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;1;Raad van State;59034;59034;59530;58916;59570
2015;O;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;2;Algemene Rekenkamer;1217;1217;1217;1217;1137
2015;U;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;2;Algemene Rekenkamer;28750;28750;28697;28802;28714
2015;V;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;2;Algemene Rekenkamer;28750;28750;28697;28802;28531
2015;O;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;3;De Nationale Ombudsman;2189;2189;2189;3370;3192
2015;U;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;3;De Nationale Ombudsman;15461;15461;15604;16635;17016
2015;V;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;3;De Nationale Ombudsman;15461;15461;15604;16635;17674
2015;O;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;4;Kanselarij der Nederlandse Orden;29;29;29;29;241
2015;U;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;4;Kanselarij der Nederlandse Orden;3975;3975;4814;4361;4170
2015;V;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;4;Kanselarij der Nederlandse Orden;3975;3975;4814;4361;3933
2015;O;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;6;Kabinet van de Gouverneur van Aruba;60;60;60;60;66
2015;U;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;6;Kabinet van de Gouverneur van Aruba;1795;1795;1813;1981;2000
2015;V;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;6;Kabinet van de Gouverneur van Aruba;1795;1795;1813;1981;2000
2015;O;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;7;Kabinet van de Gouverneur van Curaçao;200;200;200;200;106
2015;U;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;7;Kabinet van de Gouverneur van Curaçao;2735;2735;2763;3040;3497
2015;V;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;7;Kabinet van de Gouverneur van Curaçao;2735;2735;2763;3040;3196
2015;O;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;8;Kabinet van de Gouverneur van Sint Maarten;50;50;50;50;67
2015;U;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;8;Kabinet van de Gouverneur van Sint Maarten;2058;2058;2078;2098;2365
2015;V;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;8;Kabinet van de Gouverneur van Sint Maarten;2058;2058;2078;2098;2338
2015;U;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;10;Nominaal en onvoorzien;0;0;461;0;0
2015;V;IIB;Overige Hoge Colleges van Staat, Kabinetten en de Kiesraad;10;Nominaal en onvoorzien;0;0;461;0;0
2015;O;III;Algemene Zaken;1;Bevorderen eenheid regeringsbeleid;4295;4295;4688;4879;4307
2015;U;III;Algemene Zaken;1;Bevorderen eenheid regeringsbeleid;59429;59429;61638;58228;56962
2015;V;III;Algemene Zaken;1;Bevorderen eenheid regeringsbeleid;59429;59429;61638;58228;50736
2015;O;III;Algemene Zaken;4;Kabinet van de Koning;2338;2338;2369;2388;2355
2015;U;III;Algemene Zaken;4;Kabinet van de Koning;2338;2338;2369;2388;2354
2015;V;III;Algemene Zaken;4;Kabinet van de Koning;2338;2338;2369;2388;2354
2015;O;III;Algemene Zaken;5;Cie voor toezicht op de Inlichtingen- en veiligheidsdiensten;0;0;0;0;70
2015;U;III;Algemene Zaken;5;Cie voor toezicht op de Inlichtingen- en veiligheidsdiensten;1078;1078;1083;1242;1272
2015;V;III;Algemene Zaken;5;Cie voor toezicht op de Inlichtingen- en veiligheidsdiensten;1078;1078;1083;1242;1272
2015;O;IV;Koninkrijksrelaties;1;Waarborgfunctie;4857;4857;4857;5357;5192
2015;U;IV;Koninkrijksrelaties;1;Waarborgfunctie;61553;61553;62430;65313;65475
2015;V;IV;Koninkrijksrelaties;1;Waarborgfunctie;61553;61553;62430;65313;26754
2015;O;IV;Koninkrijksrelaties;2;Bevord.autonomie Koninkrijkspartners;31618;34618;43718;43718;50589
2015;U;IV;Koninkrijksrelaties;2;Bevord.autonomie Koninkrijkspartners;196552;199552;329533;325230;344415
2015;V;IV;Koninkrijksrelaties;2;Bevord.autonomie Koninkrijkspartners;27435;30435;160416;156113;179435
2015;U;IV;Koninkrijksrelaties;3;Nominaal en onvoorzien;803;803;986;0;0
2015;V;IV;Koninkrijksrelaties;3;Nominaal en onvoorzien;803;803;986;0;0
2015;O;IXA;Nationale Schuld (Transactiebasis);1;Financiering staatsschuld;55363913;55363913;53183246;52626759;52877933
2015;U;IXA;Nationale Schuld (Transactiebasis);1;Financiering staatsschuld;50473791;50473791;48895511;54550928;60778747
2015;V;IXA;Nationale Schuld (Transactiebasis);1;Financiering staatsschuld;50473791;50473791;48895511;54550928;60778747
2015;O;IXA;Nationale Schuld (Transactiebasis);2;Kasbeheer;2732262;2732262;2985514;10141765;11615978
2015;U;IXA;Nationale Schuld (Transactiebasis);2;Kasbeheer;4358796;4358796;3310726;7467037;6205165
2015;V;IXA;Nationale Schuld (Transactiebasis);2;Kasbeheer;4358796;4358796;3310726;7467037;6205164
2015;O;IXB;Financiën;1;Belastingen;997220;997220;920263;832272;849467
2015;U;IXB;Financiën;1;Belastingen;3222131;3222131;3297269;3200462;3190076
2015;V;IXB;Financiën;1;Belastingen;3222131;3222131;3297269;3200462;3259300
2015;O;IXB;Financiën;2;Financiele Markten;12515;12515;18003;73927;80674
2015;U;IXB;Financiën;2;Financiele Markten;21500;21500;25307;21385;17286
2015;V;IXB;Financiën;2;Financiele Markten;21500;21500;-4228792;-4214714;-4225045
2015;O;IXB;Financiën;3;Financ. act. Publiek-Private sector;2929491;2929491;2324861;7022683;7518712
2015;U;IXB;Financiën;3;Financ. act. Publiek-Private sector;19314;19314;28898;1144228;1137790
2015;V;IXB;Financiën;3;Financ. act. Publiek-Private sector;19314;19314;28898;2742278;1760839
2015;O;IXB;Financiën;4;Internationale Fin. Betrekkingen;24579;24579;25244;19497;18702
2015;U;IXB;Financiën;4;Internationale Fin. Betrekkingen;384077;384077;384253;463977;356416
2015;V;IXB;Financiën;4;Internationale Fin. Betrekkingen;290606;290606;1209391;1286115;3729791
2015;O;IXB;Financiën;5;Exportkrediet- en investeringsverzekering;103250;103250;193250;218350;236691
